episode,anchors,dropped,ratio,left_missing,right_missing,first_anchor_timestamp,first_left_ft_timestamp,first_right_ft_timestamp
70,775,1,0.0012903225806451613,1,1,1786686407.7212334,1786686407.7303116,1786686407.7303116
71,751,1,0.0013315579227696406,1,1,1786686428.9591165,1786686428.9658084,1786686428.9658084
72,686,1,0.0014577259475218659,1,1,1786686451.1813164,1786686451.1831937,1786686451.1831937
73,763,1,0.001310615989515072,1,1,1786686471.0678504,1786686471.0687063,1786686471.0687063
74,783,1,0.001277139208173691,1,1,1786686492.2890503,1786686492.291989,1786686492.291989
75,780,1,0.001282051282051282,1,1,1786686513.3100502,1786686513.3190086,1786686513.3190086
76,776,1,0.001288659793814433,1,1,1786686534.9483333,1786686534.94842,1786686534.94842
77,734,1,0.0013623978201634877,1,1,1786686554.6847162,1786686554.6927419,1786686554.6927419
78,775,1,0.0012903225806451613,1,1,1786686573.2866333,1786686573.2935896,1786686573.2935896
79,731,1,0.0013679890560875513,1,1,1786686594.0407004,1786686594.0503912,1786686594.0503912
80,656,1,0.001524390243902439,1,1,1786686615.8124504,1786686615.819705,1786686615.819705
81,765,1,0.00130718954248366,1,1,1786686635.5321503,1786686635.533606,1786686635.533606
82,756,1,0.0013227513227513227,1,1,1786686656.2028003,1786686656.207992,1786686656.207992
83,788,1,0.0012690355329949238,1,1,1786686677.7409832,1786686677.7412724,1786686677.7412724
84,675,1,0.0014814814814814814,1,1,1786686699.1957502,1786686699.2010996,1786686699.2010996
85,769,1,0.0013003901170351106,1,1,1786686719.7162504,1786686719.7179408,1786686719.7179408
86,753,1,0.0013280212483399733,1,1,1786686740.4536333,1786686740.463642,1786686740.463642
87,824,1,0.0012135922330097086,1,1,1786686759.9731333,1786686759.9774837,1786686759.9774837
88,725,1,0.001379310344827586,1,1,1786686782.2287004,1786686782.2336636,1786686782.2336636
89,799,1,0.0012515644555694619,1,1,1786688078.7906334,1786688078.7923257,1786688078.7923257
90,650,1,0.0015384615384615385,1,1,1786688159.6714334,1786688159.6741836,1786688159.6741836
91,673,1,0.0014858841010401188,1,1,1786688179.4745502,1786688179.4810991,1786688179.4810991
92,669,1,0.0014947683109118087,1,1,1786688197.8262165,1786688197.833935,1786688197.833935
93,720,1,0.001388888888888889,1,1,1786688224.8198504,1786688224.8215728,1786688224.8215728
94,738,1,0.0013550135501355014,1,1,1786688243.8221664,1786688243.8289514,1786688243.8289514
95,758,1,0.0013192612137203166,1,1,1786688264.1257834,1786688264.1270409,1786688264.1270409
96,751,1,0.0013315579227696406,1,1,1786688282.8278003,1786688282.8373132,1786688282.8373132
97,702,1,0.0014245014245014246,1,1,1786688304.5161333,1786688304.5176616,1786688304.5176616
98,792,1,0.0012626262626262627,1,1,1786688323.0513163,1786688323.052717,1786688323.052717
99,763,1,0.001310615989515072,1,1,1786688344.4727163,1786688344.47931,1786688344.47931
100,763,1,0.001310615989515072,1,1,1786688364.4593503,1786688364.4662647,1786688364.4662647
101,792,1,0.0012626262626262627,1,1,1786688403.7152333,1786688403.7187178,1786688403.7187178
102,780,1,0.001282051282051282,1,1,1786688425.7372334,1786688425.74693,1786688425.74693
103,749,1,0.0013351134846461949,1,1,1786688470.5319834,1786688470.5336754,1786688470.5336754
104,703,1,0.001422475106685633,1,1,1786688495.8072333,1786688495.8116546,1786688495.8116546
105,662,1,0.0015105740181268882,1,1,1786688513.6250334,1786688513.6278667,1786688513.6278667
106,670,1,0.0014925373134328358,1,1,1786688529.4575164,1786688529.4636698,1786688529.4636698
107,617,1,0.0016207455429497568,1,1,1786688547.0083833,1786688547.0134978,1786688547.0134978
108,570,1,0.0017543859649122807,1,1,1786688563.7584503,1786688563.759509,1786688563.759509
109,784,1,0.0012755102040816326,1,1,1786688580.3583663,1786688580.3595328,1786688580.3595328
110,819,1,0.001221001221001221,1,1,1786688601.8298163,1786688601.8310778,1786688601.8310778
111,739,1,0.0013531799729364006,1,1,1786688623.2345333,1786688623.236345,1786688623.236345
112,795,1,0.0012578616352201257,1,1,1786688661.4226832,1786688661.4307413,1786688661.4307413
113,802,1,0.0012468827930174563,1,1,1786688684.3789504,1786688684.3867896,1786688684.3867896
114,840,1,0.0011904761904761906,1,1,1786688705.2498004,1786688705.255078,1786688705.255078
115,830,1,0.0012048192771084338,1,1,1786688725.7369332,1786688725.741451,1786688725.741451
116,832,1,0.001201923076923077,1,1,1786688747.4920003,1786688747.497115,1786688747.497115
117,843,1,0.0011862396204033216,1,1,1786688768.5130002,1786688768.5222378,1786688768.5222378
118,835,1,0.0011976047904191617,1,1,1786688789.4005334,1786688789.4092958,1786688789.4092958
119,745,1,0.0013422818791946308,1,1,1786688831.0421333,1786688831.0448813,1786688831.0448813
120,801,1,0.0012484394506866417,1,1,1786688850.9620333,1786688850.9640052,1786688850.9640052
121,718,1,0.001392757660167131,1,1,1786688870.8152003,1786688870.817966,1786688870.817966
122,678,1,0.0014749262536873156,1,1,1786688888.5495834,1786688888.5546327,1786688888.5546327
123,594,1,0.0016835016835016834,1,1,1786688907.5018504,1786688907.5054638,1786688907.5054638
124,679,1,0.0014727540500736377,1,1,1786689004.2818663,1786689004.284788,1786689004.284788
125,698,1,0.0014326647564469914,1,1,1786689026.3372333,1786689026.3423998,1786689026.3423998
126,651,1,0.0015360983102918587,1,1,1786689049.0432503,1786689049.0520182,1786689049.0520182
127,663,1,0.0015082956259426848,1,1,1786689111.4055502,1786689111.4123487,1786689111.4123487
128,679,1,0.0014727540500736377,1,1,1786689129.5737004,1786689129.5819087,1786689129.5819087
129,638,1,0.001567398119122257,1,1,1786689148.2089834,1786689148.2129643,1786689148.2129643
130,723,1,0.0013831258644536654,1,1,1786689170.0307834,1786689170.0380888,1786689170.0380888
131,660,1,0.0015151515151515152,1,1,1786689188.1155164,1786689188.1186557,1786689188.1186557
132,721,1,0.0013869625520110957,1,1,1786689206.6507003,1786689206.6513803,1786689206.6513803
133,665,1,0.0015037593984962407,1,1,1786689225.8031664,1786689225.8116565,1786689225.8116565
134,733,1,0.001364256480218281,1,1,1786689244.2382503,1786689244.2432263,1786689244.2432263
135,767,1,0.001303780964797914,1,1,1786689263.5408664,1786689263.546477,1786689263.546477
136,748,1,0.001336898395721925,1,1,1786689283.1437833,1786689283.1529872,1786689283.1529872
137,723,1,0.0013831258644536654,1,1,1786689326.5871832,1786689326.5955167,1786689326.5955167
138,644,1,0.0015527950310559005,1,1,1786689345.2558334,1786689345.2585745,1786689345.2585745
139,619,1,0.0016155088852988692,1,1,1786689362.1393664,1786689362.1410344,1786689362.1410344
140,628,1,0.0015923566878980893,1,1,1786689378.6558664,1786689378.6654053,1786689378.6654053
141,623,1,0.0016051364365971107,1,1,1786689394.4716663,1786689394.4779556,1786689394.4779556
142,627,1,0.001594896331738437,1,1,1786689410.2207334,1786689410.2262046,1786689410.2262046
143,681,1,0.0014684287812041115,1,1,1786689425.6361334,1786689425.6410012,1786689425.6410012
144,646,1,0.0015479876160990713,1,1,1786689443.8543334,1786689443.8574898,1786689443.8574898
145,640,1,0.0015625,1,1,1786689461.3217833,1786689461.323717,1786689461.323717
