# workstation war game answer sheet — 0624_axis dataset.zarr episode 0 (n=1135 steps, 59.94 fps)
# generated 2026-07-06 on oem@147.47.191.80, source: data/robot0_eef_rot_axis_angle[:1135]
#
# ==== 계산식 (이 정의와 다르면 곡선이 어긋나는 게 정상이니 반드시 맞출 것) ====
# R_cmd  = Rotation.from_rotvec(zarr rotvec)                     # zarr 정답 자세
# uvw    = R_cmd.as_euler('zxz', degrees=True)                   # 현재 배포코드가 로봇에 쓰는 UVW
# R_raw  = Rotation.from_euler('xyz', uvw, degrees=True)         # 로봇의 물리 해석 (SDK: extrinsic RPY)
# O      = R_cmd[0] * R_raw[0].inv()                             # step0에서 오차 0이 되는 상수 offset (WORLD측 좌곱)
# R_old  = O * R_raw                                             # [수정 전] 로봇이 취하게 될 물리 자세
# [수정 후] = R_cmd 그대로 (xyz 통역은 항등이므로 별도 컬럼 없음 — zarr_* 컬럼이 곧 수정 후)
# err_old_deg = angle(R_cmd^-1 * R_old)                          # 통역 오류가 만든 자세 오차
# rel_* = (R[0].inv() * R[k]).as_rotvec()                        # 에피소드 시작 기준 상대회전 (body쪽 아님, 이 식 그대로)
# tool offset은 O(step0 보정) 외에 일절 미적용 — [B] 비교 시 offset [0,0,0] 상태와 대조할 것
# 단위: rotvec=rad, rpy/uvw/err=deg. rpy는 extrinsic 'xyz' 분해.
step,t_sec,zarr_rotvec_x,zarr_rotvec_y,zarr_rotvec_z,zarr_rpy_roll,zarr_rpy_pitch,zarr_rpy_yaw,uvw_zxz_u,uvw_zxz_v,uvw_zxz_w,old_rotvec_x,old_rotvec_y,old_rotvec_z,old_rpy_roll,old_rpy_pitch,old_rpy_yaw,rel_zarr_rotvec_x,rel_zarr_rotvec_y,rel_zarr_rotvec_z,rel_old_rotvec_x,rel_old_rotvec_y,rel_old_rotvec_z,err_old_deg
58,0.967634301,-2.628112078,0.035583101,0.012173041,-150.602383056,0.877352841,-1.321254032,-178.213088271,150.590463010,-179.764496198,-2.625407941,0.074746582,-0.018337367,-150.478859920,0.055364307,-3.247006668,0.013339843,-0.014875665,0.003783510,0.015546991,0.014000966,0.026202570,2.098393046
59,0.984317651,-2.627037525,0.034886207,0.011491759,-150.539684005,0.843040804,-1.300003661,-178.286264994,150.528706006,-179.807914338,-2.626350726,0.074228780,-0.019935550,-150.530694253,-0.016895011,-3.242292535,0.014432498,-0.014530136,0.003176653,0.014623645,0.015051576,0.025524596,2.124202774
60,1.001001001,-2.626096010,0.034998525,0.010562295,-150.485320419,0.807138829,-1.314479252,-178.361964939,150.475279630,-179.889059951,-2.627034197,0.072902541,-0.021527486,-150.566476022,-0.097078373,-3.204700369,0.015384508,-0.013858223,0.003099869,0.013978896,0.015948718,0.024276479,2.096462462
61,1.017684351,-2.625391722,0.034618720,0.009699969,-150.444091942,0.768477185,-1.308203093,-178.442374601,150.435005124,-179.953304652,-2.627930430,0.071853839,-0.022731807,-150.615274730,-0.158777270,-3.174055868,0.016104689,-0.013320745,0.002681030,0.013112305,0.016620700,0.023293313,2.089744690
62,1.034367701,-2.624910831,0.034583572,0.009050920,-150.416142704,0.742023396,-1.313730924,-178.497266716,150.407680252,179.993060597,-2.628463243,0.070939254,-0.023599595,-150.643782127,-0.204722982,-3.145570695,0.016594107,-0.012869771,0.002543970,0.012604186,0.017075277,0.022473896,2.073594200
63,1.051051051,-2.624580145,0.034525160,0.008645163,-150.396914589,0.725116377,-1.315705697,-178.532362172,150.388839638,179.960324854,-2.628816022,0.070394022,-0.024178895,-150.662769892,-0.234681415,-3.129211861,0.016930529,-0.012594785,0.002432651,0.012266036,0.017390553,0.021973597,2.067966165
64,1.067734401,-2.623336315,0.035365578,0.008093005,-150.326192983,0.712703858,-1.355933953,-178.560601778,150.318414447,179.894666351,-2.628790282,0.069456889,-0.026116362,-150.658617066,-0.323618132,-3.111712903,0.018169817,-0.012062084,0.002948068,0.012317845,0.018601057,0.020953605,2.064744404
65,1.084417751,-2.622220516,0.036974210,0.006379195,-150.262947599,0.661126337,-1.440148186,-178.667319767,150.256271189,179.717006946,-2.629229869,0.066244738,-0.028382436,-150.678002414,-0.450825724,-3.004524444,0.019283999,-0.010557837,0.003799001,0.011956164,0.019633371,0.018244535,1.963034585
66,1.101101101,-2.620757580,0.037016138,0.004178651,-150.177968436,0.573047578,-1.465812646,-178.847816851,150.172969545,179.533775169,-2.630904091,0.063082104,-0.031139831,-150.768405953,-0.599095329,-2.903305724,0.020770960,-0.008994751,0.003447134,0.010354315,0.021029071,0.015461934,1.946588080
67,1.117784451,-2.619896173,0.034080617,0.002577772,-150.125007423,0.476502277,-1.363444895,-179.043444951,150.121558340,179.465988047,-2.633768863,0.062100159,-0.032586655,-150.930598255,-0.672136530,-2.875652114,0.021688653,-0.008396099,0.001069029,0.007511289,0.021890762,0.014453755,2.063768884
68,1.134467801,-2.619514227,0.030336883,0.001683269,-150.099538661,0.399504442,-1.220362706,-179.198617661,150.097116641,179.474344192,-2.636543437,0.062493071,-0.033046673,-151.089722316,-0.690281522,-2.893559805,0.022125997,-0.008444342,-0.001764635,0.004728714,0.022298633,0.014605657,2.230674848
69,1.151151151,-2.619554758,0.027604593,0.001084982,-150.099550359,0.345279149,-1.115313011,-179.307381565,150.097741187,179.485109315,-2.638528000,0.062769122,-0.032933893,-151.203757632,-0.685334239,-2.901497683,0.022122497,-0.008515040,-0.003826787,0.002738759,0.022274904,0.014790824,2.341662166
